StartTime,EndTime,MinutesAsleep,MinutesAwake,NumberOfAwakenings,TimeInBed,MinutesRemSleep,MinutesLightSleep,MinutesDeepSleep
"Thursday, 12 March 2020","Thursday, 12 March 2020",101,13,1,114,N/A,N/A,N/A
"Friday, 13 March 2020","Friday, 13 March 2020",332,8,6,340,N/A,N/A,N/A
"Saturday, 14 March 2020","Saturday, 14 March 2020",478,67,5,545,N/A,N/A,N/A
"Sunday, 15 March 2020","Sunday, 15 March 2020",90,12,1,102,N/A,N/A,N/A
"Sunday, 15 March 2020","Sunday, 15 March 2020",166,12,0,178,N/A,N/A,N/A
"Monday, 16 March 2020","Monday, 16 March 2020",427,6,6,434,N/A,N/A,N/A
"Tuesday, 17 March 2020","Tuesday, 17 March 2020",342,9,8,352,N/A,N/A,N/A
"Wednesday, 18 March 2020","Wednesday, 18 March 2020",266,11,0,280,N/A,N/A,N/A
"Thursday, 19 March 2020","Thursday, 19 March 2020",390,38,2,438,N/A,N/A,N/A
"Friday, 20 March 2020","Friday, 20 March 2020",337,26,0,379,N/A,N/A,N/A
"Saturday, 21 March 2020","Saturday, 21 March 2020",351,31,2,382,N/A,N/A,N/A
"Sunday, 22 March 2020","Sunday, 22 March 2020",297,16,0,327,N/A,N/A,N/A
"Monday, 23 March 2020","Monday, 23 March 2020",352,31,1,398,N/A,N/A,N/A
"Monday, 23 March 2020","Monday, 23 March 2020",69,4,3,73,N/A,N/A,N/A
"Tuesday, 24 March 2020","Tuesday, 24 March 2020",334,28,1,362,N/A,N/A,N/A
"Wednesday, 25 March 2020","Wednesday, 25 March 2020",349,35,1,385,N/A,N/A,N/A
"Wednesday, 25 March 2020","Wednesday, 25 March 2020",93,1,1,94,N/A,N/A,N/A
"Thursday, 26 March 2020","Thursday, 26 March 2020",383,38,1,439,N/A,N/A,N/A
"Friday, 27 March 2020","Friday, 27 March 2020",288,34,2,322,N/A,N/A,N/A
"Sunday, 29 March 2020","Sunday, 29 March 2020",238,20,2,258,N/A,N/A,N/A
"Sunday, 29 March 2020","Sunday, 29 March 2020",81,9,4,90,N/A,N/A,N/A
"Monday, 30 March 2020","Monday, 30 March 2020",161,6,0,167,N/A,N/A,N/A
"Tuesday, 31 March 2020","Tuesday, 31 March 2020",347,28,4,376,N/A,N/A,N/A
"Wednesday, 1 April 2020","Wednesday, 1 April 2020",252,7,4,259,N/A,N/A,N/A
"Wednesday, 1 April 2020","Wednesday, 1 April 2020",114,2,1,116,N/A,N/A,N/A
"Thursday, 2 April 2020","Thursday, 2 April 2020",255,5,5,261,N/A,N/A,N/A
"Friday, 3 April 2020","Friday, 3 April 2020",305,27,1,332,N/A,N/A,N/A
"Saturday, 4 April 2020","Saturday, 4 April 2020",313,41,3,354,N/A,N/A,N/A
"Saturday, 4 April 2020","Saturday, 4 April 2020",98,4,3,102,N/A,N/A,N/A
"Sunday, 5 April 2020","Sunday, 5 April 2020",323,40,2,364,N/A,N/A,N/A
"Monday, 6 April 2020","Monday, 6 April 2020",361,47,2,408,N/A,N/A,N/A
"Tuesday, 7 April 2020","Tuesday, 7 April 2020",344,39,3,383,N/A,N/A,N/A
